🇯🇵	🇺🇸	🇩🇪	🇫🇷	🇮🇹	🇪🇸	🇰🇷	🇨🇳	🇹🇼
シンクロノイズ	Synchronoise	Synchrolärm	Synchropeine	Sincrumore	Sincrorruido	싱크로노이즈	同步干扰	同步干擾
エレキボール	Electro Ball	Elektroball	Boule Élek	Energisfera	Bola Voltio	일렉트릭볼	电球	電球
みずびたし	Soak	Überflutung	Détrempage	Inondazione	Anegar	물붓기	浸水	浸水
ニトロチャージ	Flame Charge	Nitroladung	Nitrocharge	Nitrocarica	Nitrocarga	니트로차지	蓄能焰袭	蓄能焰襲
とぐろをまく	Coil	Einrollen	Enroulement	Arrotola	Enrosque	똬리틀기	盘蜷	盤蜷
ローキック	Low Sweep	Fußtritt	Balayette	Calciobasso	Puntapié	로킥	下盘踢	下盤踢
アシッドボム	Acid Spray	Säurespeier	Bombe Acide	Acidobomba	Bomba Ácida	애시드봄	酸液炸弹	酸液炸彈
イカサマ	Foul Play	Schmarotzer	Tricherie	Ripicca	Juego Sucio	속임수	欺诈	欺詐
シンプルビーム	Simple Beam	Wankelstrahl	Rayon Simple	Ondisinvolta	Onda Simple	심플빔	单纯光束	單純光束
なかまづくり	Entrainment	Zwango	Ten-danse	Saltamicizia	Danza Amiga	동료만들기	找伙伴	找夥伴
おさきにどうぞ	After You	Galanterie	Après Vous	Cortesia	Cede Paso	당신먼저	您先请	您先請
りんしょう	Round	Kanon	Chant Canon	Coro	Canon	돌림노래	轮唱	輪唱
エコーボイス	Echoed Voice	Widerhall	Écho	Echeggiavoce	Eco Voz	에코보이스	回声	回聲
なしくずし	Chip Away	Zermürben	Attrition	Insidia	Guardia Baja	야금야금	逐步击破	逐步擊破
クリアスモッグ	Clear Smog	Klärsmog	Bain de Smog	Pulifumo	Niebla Clara	클리어스모그	清除之烟	清除之煙
アシストパワー	Stored Power	Kraftvorrat	Force Ajoutée	Veicolaforza	Poder Reserva	어시스트파워	辅助力量	輔助力量
ファストガード	Quick Guard	Rapidschutz	Prévention	Anticipo	Anticipo	퍼스트가드	快速防守	快速防守
サイドチェンジ	Ally Switch	Seitentausch	Interversion	Cambiaposto	Cambio Banda	사이드체인지	交换场地	交換場地
ねっとう	Scald	Siedewasser	Ébullition	Idrovampata	Escaldar	열탕	热水	熱水
からをやぶる	Shell Smash	Hausbruch	Exuviation	Gettaguscio	Rompecoraza	껍질깨기	破壳	破殼
いやしのはどう	Heal Pulse	Heilwoge	Vibra Soin	Ondasana	Pulso Cura	치유파동	治愈波动	治癒波動
たたりめ	Hex	Bürde	Châtiment	Sciagura	Infortunio	병상첨병	祸不单行	禍不單行
フリーフォール	Sky Drop	Freier Fall	Chute Libre	Cadutalibera	Caída Libre	프리폴	自由落体	自由落體
ギアチェンジ	Shift Gear	Gangwechsel	Chgt Vitesse	Cambiomarcia	Cambio de Marcha	기어체인지	换挡	換檔
ともえなげ	Circle Throw	Überkopfwurf	Projection	Ribaltiro	Llave Giro	배대뒤치기	巴投	巴投
やきつくす	Incinerate	Einäschern	Calcination	Bruciatutto	Calcinación	불태우기	烧尽	燒盡
さきおくり	Quash	Verzögerung	À la Queue	Spintone	Último Lugar	순서미루기	延后	延後
アクロバット	Acrobatics	Akrobatik	Acrobatie	Acrobazia	Acróbata	애크러뱃	杂技	雜技
ミラータイプ	Reflect Type	Typenspiegel	Copie Type	Riflettipo	Clonatipo	미러타입	镜面属性	鏡面屬性
かたきうち	Retaliate	Heimzahlung	Vengeance	Nemesi	Represalia	원수갚기	报仇	報仇
いのちがけ	Final Gambit	Wagemut	Tout ou Rien	Azzardo	Sacrificio	목숨걸기	搏命	搏命
ギフトパス	Bestow	Offerte	Passe-Cadeau	Cediregalo	Ofrenda	기프트패스	传递礼物	傳遞禮物
れんごく	Inferno	Inferno	Feu d’Enfer	Marchiatura	Infierno	연옥	炼狱	煉獄
みずのちかい	Water Pledge	Wassersäulen	Aire d’Eau	Acquapatto	Voto Agua	물의맹세	水之誓约	水之誓約
ほのおのちかい	Fire Pledge	Feuersäulen	Aire de Feu	Fiammapatto	Voto Fuego	불꽃의맹세	火之誓约	火之誓約
くさのちかい	Grass Pledge	Pflanzensäulen	Aire d’Herbe	Erbapatto	Voto Planta	풀의맹세	草之誓约	草之誓約
ボルトチェンジ	Volt Switch	Voltwechsel	Change Éclair	Invertivolt	Voltiocambio	볼트체인지	伏特替换	伏特替換
むしのていこう	Struggle Bug	Käfertrutz	Survinsecte	Entomoblocco	Estoicismo	벌레의저항	虫之抵抗	蟲之抵抗
じならし	Bulldoze	Dampfwalze	Piétisol	Battiterra	Terratemblor	땅고르기	重踏	重踏
こおりのいぶき	Frost Breath	Eisesodem	Souffle Glacé	Alitogelido	Vaho Gélido	얼음숨결	冰息	冰息
ドラゴンテール	Dragon Tail	Drachenrute	Draco-Queue	Codadrago	Cola Dragón	드래곤테일	龙尾	龍尾
ふるいたてる	Work Up	Kraftschub	Rengorgement	Cuordileone	Avivar	분발	自我激励	自我激勵
エレキネット	Electroweb	Elektronetz	Toile Élek	Elettrotela	Electrotela	일렉트릭네트	电网	電網
ワイルドボルト	Wild Charge	Stromstoß	Éclair Fou	Sprizzalampo	Voltio Cruel	와일드볼트	疯狂伏特	瘋狂伏特
ドリルライナー	Drill Run	Schlagbohrer	Tunnelier	Giravvita	Taladradora	드릴라이너	直冲钻	直衝鑽
ダブルチョップ	Dual Chop	Doppelhieb	Double Baffe	Doppiocolpo	Golpe Bis	더블촙	二连劈	二連劈
ハートスタンプ	Heart Stamp	Herzstempel	Crève-Cœur	Cuorestampo	Arrumaco	하트스탬프	爱心印章	愛心印章
ウッドホーン	Horn Leech	Holzgeweih	Encornebois	Legnicorno	Asta Drenaje	우드호른	木角	木角
せいなるつるぎ	Sacred Sword	Sanctoklinge	Lame Sainte	Spadasolenne	Espada Santa	성스러운칼	圣剑	聖劍
シェルブレード	Razor Shell	Kalkklinge	Coquilame	Conchilama	Concha Filo	셸블레이드	贝壳刃	貝殼刃
ヒートスタンプ	Heat Crash	Brandstempel	Tacle Feu	Marchiafuoco	Golpe Calor	히트스탬프	高温重压	高溫重壓
グラスミキサー	Leaf Tornado	Grasmixer	Phytomixeur	Vorticerba	Ciclón de Hojas	그래스믹서	青草搅拌器	青草攪拌器
ハードローラー	Steamroller	Quetschwalze	Bulldoboule	Rulloduro	Rodillo de Púas	하드롤러	疯狂滚压	瘋狂滾壓
コットンガード	Cotton Guard	Watteschild	Cotogarde	Cotonscudo	Rizo Algodón	코튼가드	棉花防守	棉花防守
ナイトバースト	Night Daze	Nachtflut	Explonuit	Urtoscuro	Pulso Noche	나이트버스트	暗黑爆破	暗黑爆破
サイコブレイク	Psystrike	Psychostoß	Frappe Psy	Psicobotta	Onda Mental	사이코브레이크	精神击破	精神擊破
スイープビンタ	Tail Slap	Kehrschelle	Plumo-Queue	Spazzasberla	Plumerazo	스위프뺨치기	扫尾拍打	掃尾拍打
ぼうふう	Hurricane	Orkan	Vent Violent	Tifone	Vendaval	폭풍	暴风	暴風
アフロブレイク	Head Charge	Steinschädel	Peignée	Ricciolata	Ariete	아프로브레이크	爆炸头突击	爆炸頭突擊
ギアソーサー	Gear Grind	Klikkdiskus	Lancécrou	Ingracolpo	Rueda Doble	기어소서	齿轮飞盘	齒輪飛盤
かえんだん	Searing Shot	Flammenball	Incendie	Sparafuoco	Bomba Ígnea	화염탄	火焰弹	火焰彈
テクノバスター	Techno Blast	Techblaster	Techno-Buster	Tecnobotto	Tecno Shock	테크노버스터	高科技光炮	高科技光炮
いにしえのうた	Relic Song	Urgesang	Chant Antique	Cantoantico	Canto Arcaico	옛노래	古老之歌	古老之歌
しんぴのつるぎ	Secret Sword	Mystoschwert	Lame Ointe	Spadamistica	Sable Místico	신비의칼	神秘之剑	神秘之劍
こごえるせかい	Glaciate	Eiszeit	Ère Glaciaire	Gelamondo	Mundo Gélido	얼다세계	冰封世界	冰封世界
らいげき	Bolt Strike	Blitzschlag	Charge Foudre	Lucesiluro	Ataque Fulgor	뇌격	雷击	雷擊
あおいほのお	Blue Flare	Blauflammen	Flamme Bleue	Fuocoblu	Llama Azul	푸른불꽃	青焰	青焰
ほのおのまい	Fiery Dance	Feuerreigen	Danse du Feu	Voldifuoco	Danza Llama	불꽃춤	火之舞	火之舞
フリーズボルト	Freeze Shock	Frostvolt	Éclair Gelé	Elettrogelo	Rayo Gélido	프리즈볼트	冰冻伏特	冰凍伏特
コールドフレア	Ice Burn	Frosthauch	Feu Glacé	Vampagelida	Llama Gélida	콜드플레어	极寒冷焰	極寒冷焰
バークアウト	Snarl	Standpauke	Aboiement	Urlorabbia	Alarido	바크아웃	大声咆哮	大聲咆哮
つららおとし	Icicle Crash	Eiszapfhagel	Chute Glace	Scagliagelo	Chuzos	고드름떨구기	冰柱坠击	冰柱墜擊
Vジェネレート	V-create	V-Generator	Coup Victoire	Generatore V	V de Fuego	V제너레이트	V热焰	V熱焰
クロスフレイム	Fusion Flare	Kreuzflamme	Flamme Croix	Incrofiamma	Llama Fusión	크로스플레임	交错火焰	交錯火焰
クロスサンダー	Fusion Bolt	Kreuzdonner	Éclair Croix	Incrotuono	Rayo Fusión	크로스썬더	交错闪电	交錯閃電
フライングプレス	Flying Press	Flying Press	Flying Press	Schiacciatuffo	Plancha Voladora	플라잉프레스	飞身重压	飛身重壓
たたみがえし	Mat Block	Tatami-Schild	Tatamigaeshi	Ribaltappeto	Escudo Tatami	마룻바닥세워막기	掀榻榻米	掀榻榻米
ゲップ	Belch	Rülpser	Éructation	Rutto	Eructo	트림	打嗝	打嗝
たがやす	Rototiller	Pflüger	Fertilisation	Aracampo	Fertilizante	일구기	耕地	耕地
ねばねばネット	Sticky Web	Klebenetz	Toile Gluante	Rete Vischiosa	Red Viscosa	끈적끈적네트	黏黏网	黏黏網
とどめばり	Fell Stinger	Stachelfinale	Dard Mortel	Pungiglione	Aguijón Letal	마지막일침	致命针刺	致命針刺
ゴーストダイブ	Phantom Force	Phantomkraft	Hantise	Spettrotuffo	Golpe Fantasma	고스트다이브	潜灵奇袭	潛靈奇襲
ハロウィン	Trick-or-Treat	Halloween	Halloween	Halloween	Halloween	핼러윈	万圣夜	萬聖夜
おたけび	Noble Roar	Kampfgebrüll	Râle Mâle	Urlo	Rugido de Guerra	부르짖기	战吼	戰吼
プラズマシャワー	Ion Deluge	Plasmaschauer	DélugePlasmique	Pioggiaplasma	Cortina Plasma	플라스마샤워	等离子浴	等離子浴
パラボラチャージ	Parabolic Charge	Parabolladung	Parabocharge	Caricaparabola	Carga Parábola	파라볼라차지	抛物面充电	拋物面充電
もりののろい	Forest’s Curse	Waldesfluch	Maléfice Sylvain	Boscomalocchio	Condena Silvana	숲의저주	森林诅咒	森林詛咒
はなふぶき	Petal Blizzard	Blütenwirbel	Tempête Florale	Fiortempesta	Tormenta Floral	꽃보라	落英缤纷	落英繽紛
フリーズドライ	Freeze-Dry	Gefriertrockner	Lyophilisation	Liofilizzazione	Liofilización	프리즈드라이	冷冻干燥	冷凍乾燥
チャームボイス	Disarming Voice	Säuselstimme	Voix Enjôleuse	Incantavoce	Voz Cautivadora	차밍보이스	魅惑之声	魅惑之聲
すてゼリフ	Parting Shot	Abgangstirade	Dernier Mot	Monito	Última Palabra	막말내뱉기	抛下狠话	拋下狠話
ひっくりかえす	Topsy-Turvy	Invertigo	Renversement	Sottosopra	Reversión	뒤집어엎기	颠倒	顛倒
ドレインキッス	Draining Kiss	Diebeskuss	Vampibaiser	Assorbibacio	Beso Drenaje	드레인키스	吸取之吻	吸取之吻
トリックガード	Crafty Shield	Trickschutz	Vigilance	Truccodifesa	Truco Defensa	트릭가드	戏法防守	戲法防守
フラワーガード	Flower Shield	Floraschutz	Garde Florale	Fiordifesa	Defensa Floral	플라워가드	鲜花防守	鮮花防守
グラスフィールド	Grassy Terrain	Grasfeld	Champ Herbu	Campo Erboso	Campo de Hierba	그래스필드	青草场地	青草場地
ミストフィールド	Misty Terrain	Nebelfeld	Champ Brumeux	Campo Nebbioso	Campo de Niebla	미스트필드	薄雾场地	薄霧場地
そうでん	Electrify	Elektrifizierung	Électrisation	Elettrocontagio	Electrificación	송전	输电	輸電
じゃれつく	Play Rough	Knuddler	Câlinerie	Carineria	Carantoña	치근거리기	嬉闹	嬉鬧
ようせいのかぜ	Fairy Wind	Feenbrise	Vent Féérique	Vento di Fata	Viento Feérico	요정의바람	妖精之风	妖精之風
ムーンフォース	Moonblast	Mondgewalt	Pouvoir Lunaire	Forza Lunare	Fuerza Lunar	문포스	月亮之力	月亮之力
ばくおんぱ	Boomburst	Überschallknall	Bang Sonique	Ondaboato	Estruendo	폭음파	爆音波	爆音波
フェアリーロック	Fairy Lock	Feenschloss	Verrou Enchanté	Blocco Fatato	Cerrojo Feérico	페어리록	妖精之锁	妖精之鎖
キングシールド	King’s Shield	Königsschild	Bouclier Royal	Scudo Reale	Escudo Real	킹실드	王者盾牌	王者盾牌
なかよくする	Play Nice	Kameradschaft	Camaraderie	Simpatia	Camaradería	친해지기	和睦相处	和睦相處
ないしょばなし	Confide	Vertrauenssache	Confidence	Confidenza	Confidencia	비밀이야기	密语	密語
ダイヤストーム	Diamond Storm	Diamantsturm	Orage Adamantin	Diamantempesta	Torm. Diamantes	다이아스톰	钻石风暴	鑽石風暴
スチームバースト	Steam Eruption	Dampfschwall	Jet de Vapeur	Vaporscoppio	Chorro de Vapor	스팀버스트	蒸汽爆炸	蒸汽爆炸
いじげんホール	Hyperspace Hole	Dimensionsloch	TrouDimensionnel	Forodimensionale	Paso Dimensional	다른차원홀	异次元洞	異次元洞
みずしゅりけん	Water Shuriken	Wasser-Shuriken	Sheauriken	Acqualame	Shuriken de Agua	물수리검	飞水手里剑	飛水手裡劍
マジカルフレイム	Mystical Fire	Magieflamme	Feu Ensorcelé	Magifiamma	Llama Embrujada	매지컬플레임	魔法火焰	魔法火焰
ニードルガード	Spiky Shield	Schutzstacheln	Pico-Défense	Agodifesa	Barrera Espinosa	니들가드	尖刺防守	尖刺防守
アロマミスト	Aromatic Mist	Duftwolke	Brume Capiteuse	Nebularoma	Niebla Aromática	아로마미스트	芳香薄雾	芳香薄霧
かいでんぱ	Eerie Impulse	Mystowellen	Ondes Étranges	Elettromistero	Onda Anómala	괴전파	怪异电波	怪異電波
ベノムトラップ	Venom Drench	Giftfalle	Piège de Venin	Velenotrappola	Trampa Venenosa	베놈트랩	毒液陷阱	毒液陷阱
ふんじん	Powder	Pulverschleuder	Nuée de Poudre	Pulviscoppio	Polvo Explosivo	분진	粉尘	粉塵
ジオコントロール	Geomancy	Geokontrolle	Géo-Contrôle	Geocontrollo	Geocontrol	지오컨트롤	大地掌控	大地掌控
じばそうさ	Magnetic Flux	Magnetregler	Magné-Contrôle	Controllo Polare	Aura Magnética	자기장조작	磁场操控	磁場操控
ハッピータイム	Happy Hour	Goldene Zeiten	Étrennes	Cuccagna	Paga Extra	해피타임	欢乐时光	歡樂時光
エレキフィールド	Electric Terrain	Elektrofeld	Champ Électrifié	Campo Elettrico	Campo Eléctrico	일렉트릭필드	电气场地	電氣場地
マジカルシャイン	Dazzling Gleam	Zauberschein	Éclat Magique	Magibrillio	Brillo Mágico	매지컬샤인	魔法闪耀	魔法閃耀
おいわい	Celebrate	Ehrentag	Célébration	Auguri	Celebración	축하	庆祝	慶祝
てをつなぐ	Hold Hands	Händchenhalten	Mains Jointes	Mano nella Mano	Manos Juntas	손에손잡기	牵手	牽手
つぶらなひとみ	Baby-Doll Eyes	Kulleraugen	Regard Touchant	Occhioni Teneri	Ojitos Tiernos	초롱초롱눈동자	圆瞳	圓瞳
ほっぺすりすり	Nuzzle	Wangenrubbler	Frotte-Frimousse	Elettrococcola	Moflete Estático	볼부비부비	蹭蹭脸颊	蹭蹭臉頰
てかげん	Hold Back	Zurückhaltung	Retenue	Riguardo	Clemencia	적당히손봐주기	手下留情	手下留情
まとわりつく	Infestation	Plage	Harcèlement	Assillo	Acoso	엉겨붙기	死缠烂打	死纏爛打
グロウパンチ	Power-Up Punch	Steigerungshieb	Poing Boost	Crescipugno	Puño Incremento	그로우펀치	增强拳	增強拳
デスウイング	Oblivion Wing	Unheilsschwingen	Mort-Ailes	Ali del Fato	Ala Mortífera	데스윙	死亡之翼	死亡之翼
サウザンアロー	Thousand Arrows	Tausend Pfeile	Myria-Flèches	Mille Frecce	Mil Flechas	사우전드애로	千箭齐发	千箭齊發
サウザンウェーブ	Thousand Waves	Tausend Wellen	Myria-Vagues	Mille Onde	Mil Temblores	사우전드웨이브	千波激荡	千波激盪
グランドフォース	Land’s Wrath	Bodengewalt	Force Chtonienne	Forza Tellurica	Fuerza Telúrica	그라운드포스	大地神力	大地神力
はめつのひかり	Light of Ruin	Lux Calamitatis	Lumière du Néant	Luce Nefasta	Luz Aniquiladora	파멸의빛	破灭之光	破滅之光
こんげんのはどう	Origin Pulse	Ursprungswoge	Onde Originelle	Primopulsar	Pulso Primigenio	근원의파동	根源波动	根源波動
だんがいのつるぎ	Precipice Blades	Abgrundsklinge	Lame Pangéenne	Spade Telluriche	Filo del Abismo	단애의칼	断崖之剑	斷崖之劍
ガリョウテンセイ	Dragon Ascent	Zenitstürmer	Draco Ascension	Ascesa del Drago	Ascenso Draco	화룡점정	画龙点睛	畫龍點睛
いじげんラッシュ	Hyperspace Fury	Dimensionswahn	Furie Dimension	Urtodimensionale	Cerco Dimensión	다른차원러시	异次元猛攻	異次元猛攻
ウルトラダッシュアタック	Breakneck Blitz	Hyper-Sprintangriff	Turbo-Charge Bulldozer	Carica Travolgente	Carrera Arrolladora	울트라대시어택	究极无敌大冲撞	究極無敵大衝撞
ぜんりょくむそうげきれつけん	All-Out Pummeling	Fulminante Faustschläge	Combo Hyper-Furie	Iperscarica Furiosa	Ráfaga Demoledora	전력무쌍격렬권	全力无双激烈拳	全力無雙激烈拳
ファイナルダイブクラッシュ	Supersonic Skystrike	Finaler Steilflug	Piqué Supersonique	Picchiata Devastante	Picado Supersónico	파이널다이브클래시	极速俯冲轰烈撞	極速俯衝轟烈撞
アシッドポイズンデリート	Acid Downpour	Vernichtender Säureregen	Déluge Causti-Toxique	Acidiluvio Corrosivo	Diluvio Corrosivo	애시드포이즌딜리트	强酸剧毒灭绝雨	強酸劇毒滅絕雨
ライジングランドオーバー	Tectonic Rage	Seismische Eruption	Éruption Géo-Sismique	Furore della Terra	Barrena Telúrica	라이징랜드오버	地隆啸天大终结	地隆嘯天大終結
ワールズエンドフォール	Continental Crush	Apokalyptische Steinpresse	Apocalypse Gigalithique	Gigamacigno Polverizzante	Aplastamiento Gigalítico	월즈엔드폴	毁天灭地巨岩坠	毀天滅地巨岩墜
ぜったいほしょくかいてんざん	Savage Spin-Out	Wirbelnder Insektenhieb	Cocon Fatal	Bozzolo Fatale	Guadaña Sedosa	절대포식회전참	绝对捕食回旋斩	絕對捕食迴旋斬
むげんあんやへのいざない	Never-Ending Nightmare	Ewige Nacht	Appel des Ombres Éternelles	Abbraccio Spettrale	Presa Espectral	무한암야로의유인	无尽暗夜之诱惑	無盡暗夜之誘惑
ちょうぜつらせんれんげき	Corkscrew Crash	Turbo-Spiralkombo	Vrille Maximum	Spirale Perforante	Hélice Trepanadora	초월나선연격	超绝螺旋连击	超絕螺旋連擊
ダイナミックフルフレイム	Inferno Overdrive	Dynamische Maxiflamme	Pyro-Explosion Cataclysmique	Fiammobomba Detonante	Hecatombe Pírica	다이내믹풀플레임	超强极限爆焰弹	超強極限爆焰彈
スーパーアクアトルネード	Hydro Vortex	Super-Wassertornado	Super Tourbillon Abyssal	Idrovortice Abissale	Hidrovórtice Abisal	슈퍼아쿠아토네이도	超级水流大漩涡	超級水流大漩渦
ブルームシャインエクストラ	Bloom Doom	Brillante Blütenpracht	Pétalexplosion Éblouissante	Floriscoppio Sfolgorante	Megatón Floral	블룸샤인엑스트라	绚烂缤纷花怒放	絢爛繽紛花怒放
スパーキングギガボルト	Gigavolt Havoc	Gigavolt-Funkensalve	Fulguro-Lance Gigavolt	Gigascarica Folgorante	Gigavoltio Destructor	스파킹기가볼트	终极伏特狂雷闪	終極伏特狂雷閃
マキシマムサイブレイカー	Shattered Psyche	Psycho-Schmetterschlag	Psycho-Pulvérisation EX	Impatto Psicocinetico	Disruptor Psíquico	맥시멈사이브레이커	至高精神破坏波	至高精神破壞波
レイジングジオフリーズ	Subzero Slammer	Tobender Geofrost	Laser Cryogénique	Criodistruzione Polare	Crioaliento Despiadado	레이징지오프리즈	激狂大地万里冰	激狂大地萬里冰
アルティメットドラゴンバーン	Devastating Drake	Drastisches Drachendröhnen	Chaos Draconique	Dragoschianto Finale	Dracoaliento Devastador	얼티메이트드래곤번	究极巨龙震天地	究極巨龍震天地
ブラックホールイクリプス	Black Hole Eclipse	Schwarzes Loch des Grauens	Trou Noir des Ombres	Buco Nero del Non Ritorno	Agujero Negro Aniquilador	블랙홀이클립스	黑洞吞噬万物灭	黑洞吞噬萬物滅
ラブリースターインパクト	Twinkle Tackle	Entzückender Sternenstoß	Impact Choupinova	Astroimpatto Fatato	Arrumaco Sideral	러블리스타임팩트	可爱星星飞天撞	可愛星星飛天撞
ひっさつのピカチュート	Catastropika	Perfektes Pika-Projektil	Pikachute Foudroyante	Super Pikaboom	Pikavoltio Letal	필살피카슛	皮卡皮卡必杀击	皮卡皮卡必殺擊
すなあつめ	Shore Up	Sandsammler	Amass’Sable	Sabbiaccumulo	Recogearena	모래모으기	集沙	集沙
であいがしら	First Impression	Überrumpler	Escarmouche	Schermaglia	Escaramuza	만나자마자	迎头一击	迎頭一擊
トーチカ	Baneful Bunker	Bunker	Blockhaus	Fortino	Búnker	토치카	碉堡	碉堡
かげぬい	Spirit Shackle	Schattenfessel	Tisse Ombre	Cucitura d’Ombra	Puntada Sombría	그림자꿰매기	缝影	縫影
DDラリアット	Darkest Lariat	Dark Lariat	Dark Lariat	Braccioteso	Lariat Oscuro	DD래리어트	DD金勾臂	DD金勾臂
うたかたのアリア	Sparkling Aria	Schaumserenade	Aria de l’Écume	Canto Effimero	Aria Burbuja	물거품아리아	泡影的咏叹调	泡影的詠歎調
アイスハンマー	Ice Hammer	Eishammer	Marteau de Glace	Martelgelo	Martillo Hielo	아이스해머	冰锤	冰錘
フラワーヒール	Floral Healing	Florakur	Soin Floral	Cura Floreale	Cura Floral	플라워힐	花疗	花療
10まんばりき	High Horsepower	Pferdestärke	Cavalerie Lourde	Forza Equina	Fuerza Equina	10만마력	十万马力	十萬馬力
ちからをすいとる	Strength Sap	Kraftabsorber	Vol-Force	Assorbiforza	Absorbefuerza	힘흡수	吸取力量	吸取力量
ソーラーブレード	Solar Blade	Solarklinge	Lame Solaire	Lama Solare	Cuchilla Solar	솔라블레이드	日光刃	日光刃
このは	Leafage	Blattwerk	Feuillage	Fogliame	Follaje	나뭇잎	树叶	樹葉
スポットライト	Spotlight	Rampenlicht	Projecteur	Riflettore	Foco	스포트라이트	聚光灯	聚光燈
どくのいと	Toxic Thread	Giftfaden	Fil Toxique	Velenotela	Hilo Venenoso	독실	毒丝	毒絲
とぎすます	Laser Focus	Konzentration	Affilage	Concentrazione	Aguzar	예민해지기	磨砺	磨礪
アシストギア	Gear Up	Hilfsmechanik	Engrenage	Marciainpiù	Piñón Auxiliar	어시스트기어	辅助齿轮	輔助齒輪
じごくづき	Throat Chop	Neck Strike	Exécu-Son	Colpo Infernale	Golpe Mordaza	지옥찌르기	地狱突刺	地獄突刺
かふんだんご	Pollen Puff	Pollenknödel	Boule Pollen	Sferapolline	Bola de Polen	꽃가루경단	花粉团	花粉團
アンカーショット	Anchor Shot	Ankerschuss	Ancrage	Colpo d’Ancora	Anclaje	앵커숏	掷锚	擲錨
サイコフィールド	Psychic Terrain	Psychofeld	Champ Psychique	Campo Psichico	Campo Psíquico	사이코필드	精神场地	精神場地
とびかかる	Lunge	Anfallen	Furie-Bond	Assalto	Plancha	덤벼들기	猛扑	猛撲
ほのおのムチ	Fire Lash	Feuerpeitsche	Fouet de Feu	Frusta di Fuoco	Látigo Ígneo	불꽃채찍	火焰鞭	火焰鞭
つけあがる	Power Trip	Überheblichkeit	Arrogance	Tracotanza	Chulería	기어오르기	嚣张	囂張
もえつきる	Burn Up	Ausbrennen	Flamme Ultime	Ultima Fiamma	Llama Final	불사르기	燃尽	燃盡
スピードスワップ	Speed Swap	Initiativetausch	Permuvitesse	Velociscambio	Cambia Velocidad	스피드스웹	速度互换	速度互換
スマートホーン	Smart Strike	Schmalhorn	Estocorne	Sottilcorno	Cuerno Certero	스마트호른	修长之角	修長之角
じょうか	Purify	Läuterung	Purification	Purificazione	Purificación	정화	净化	淨化
めざめるダンス	Revelation Dance	Wecktanz	Danse Éveil	Mutadanza	Danza Despertar	잠재댄스	觉醒之舞	覺醒之舞
コアパニッシャー	Core Enforcer	Sanktionskern	Sanction Suprême	Nucleocastigo	Núcleo Castigo	코어퍼니셔	核心惩罚者	核心懲罰者
トロピカルキック	Trop Kick	Tropenkick	Botte Sucrette	Tropicalcio	Patada Tropical	트로피컬킥	热带踢	熱帶踢
さいはい	Instruct	Kommando	Sommation	Imposizione	Mandato	지휘	号令	號令
くちばしキャノン	Beak Blast	Schnabelkanone	Bec-Canon	Cannonbecco	Pico Cañón	부리캐논	鸟嘴加农炮	鳥嘴加農炮
スケイルノイズ	Clanging Scales	Schuppenrasseln	Vibrécaille	Clamorsquame	Fragor Escamas	스케일노이즈	鳞片噪音	鱗片噪音
ドラゴンハンマー	Dragon Hammer	Drachenhammer	Draco-Marteau	Marteldrago	Martillo Dragón	드래곤해머	龙锤	龍錘
ぶんまわす	Brutal Swing	Wirbler	Centrifugifle	Vorticolpo	Giro Vil	세차게휘두르기	狂舞挥打	狂舞揮打
オーロラベール	Aurora Veil	Auroraschleier	Voile Aurore	Velaurora	Velo Aurora	오로라베일	极光幕	極光幕
シャドーアローズストライク	Sinister Arrow Raid	Schatten-Pfeilregen	Fureur des Plumes Spectrales	Dardoassalto Spettrale	Aluvión de Flechas Sombrías	섀도애로우즈스트라이크	遮天蔽日暗影箭	遮天蔽日暗影箭
ハイパーダーククラッシャー	Malicious Moonsault	Hyper Dark Crusher	Dark Body Press	Iperschianto delle Tenebre	Hiperplancha Oscura	하이퍼다크크러셔	极恶飞跃粉碎击	極惡飛躍粉碎擊
わだつみのシンフォニア	Oceanic Operetta	Grandiose Meeressymphonie	Symphonie des Ondines	Sinfonia del Mare	Sinfonía de la Diva Marina	바다의심포니	海神庄严交响乐	海神莊嚴交響樂
ガーディアン・デ・アローラ	Guardian of Alola	Alolas Wächter	Colère du Gardien d’Alola	Collera del Guardiano	Cólera del Guardián	알로라의수호자	巨人卫士・阿罗拉	巨人衛士・阿羅拉
しちせいだっこんたい	Soul-Stealing 7-Star Strike	Sternbild des Seelenraubes	Fauche-Âme des Sept Étoiles	Colpo Eptastellare Rubanima	Constelación Robaalmas	칠성탈혼퇴	七星夺魂腿	七星奪魂腿
ライトニングサーフライド	Stoked Sparksurfer	Blitz-Wellenritt	Électro-Surf Survolté	Elettrosurf Folgorante	Surfeo Galvánico	라이트닝서프라이드	驾雷驭电戏冲浪	駕雷馭電戲衝浪
ほんきをだす こうげき	Pulverizing Pancake	Schluss mit lustig	Gare au Ronflex	Adesso Faccio sul Serio	Arrojo Intempestivo	진심의공격	认真起来大爆击	認真起來大爆擊
ナインエボルブースト	Extreme Evoboost	Macht der Neun	Neuf pour Un	Potenziamento Eevolutivo	Novena Potencia	나인이볼부스트	九彩升华齐聚顶	九彩昇華齊聚頂
オリジンズスーパーノヴァ	Genesis Supernova	Supernova des Ursprungs	Supernova Originelle	Supernova delle Origini	Supernova Original	오리진즈슈퍼노바	起源超新星大爆炸	起源超新星大爆炸
